title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Facile surface modification of CH3NH3PbI3 films leading to simultaneously improved efficiency and stability of inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,4-dimethylaminobenzoic acid,12092,,hydrophobic organic acid molecule,,modify the top surface of a CH3NH3PbI3 thin film,top surface of a CH3NH3PbI3 thin film,19.87,,,,CH3NH3PbI3,retained efficiency after 1 sun light soaking: 91 % (1 sun light soaking for 1000 hours); retained efficiency after 85 degrees C thermal aging: 81 % (85 degrees C thermal aging for 1000 hours); retained efficiency after high humidity (70%) aging: 98 % (high humidity (70%) aging for 1000 hours)
"Fast two-step deposition of perovskite via mediator extraction treatment for large-area, high-performance perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,DMSO,679,,,,removal of DMSO,PbI2-DMSO complex film,18.8,,,,MAPbI(3),
"Fast two-step deposition of perovskite via mediator extraction treatment for large-area, high-performance perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,MAI,,,,,reactant that reacts with PbI2 to form MAPbI(3),,18.8,,,,MAPbI(3),
Fluorene-based enamines as low-cost and dopant-free hole transporting materials for high performance and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,,,19.3,,,,,long-term stability: None None (None)
General design of self-doped small molecules as efficient hole extraction materials for polymer solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,TBP-OH4,,,,dimethylphenolamine,,,,,,,,solvent resistance: None None (in chlorobenzene); device durability: None None (None)
General design of self-doped small molecules as efficient hole extraction materials for polymer solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,TPD-OH4,,,,dimethylphenolamine,,,,,,,,solvent resistance: None None (in chlorobenzene); device durability: None None (None)
General design of self-doped small molecules as efficient hole extraction materials for polymer solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,Spiro-OH8,,,,dimethylphenolamine,,,,,,,,solvent resistance: None None (in chlorobenzene); device durability: None None (None)
General design of self-doped small molecules as efficient hole extraction materials for polymer solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,phenol,996,,,,acts as a hole trap,,,,,,,solvent resistance: None None (in chlorobenzene); device durability: None None (None)
High-performance flexible and air-stable perovskite solar cells with a large active area based on poly(3-hexylthiophene) nanofibrils,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,P3HT,,,,thiophene rings,,,13.12,,,,metal halide perovskite,PCE after 500 bending cycles: 12.96 % (after 500 bending cycles at r - 15 mm); 30-day PCE retention: 87 % (30-day at a relative humidity of 30% (relative to the initial PCE))
Highly efficient CsPbIBr2 perovskite solar cells with efficiency over 9.8% fabricated using a preheating-assisted spin-coating method,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,,,9.86,1.267,,,inorganic perovskite,stabilized output (PCE): 8.78 % (None)
Highly efficient and stable inverted perovskite solar cells with two-dimensional ZnSe deposited using a thermal evaporator for electron collection,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,bathocuproine (BCP),65149,,a conjugated organic molecule,,often deposited on C60 for electron collection in inverted PSCs.,deposited on C60,18.38,,,,Hybrid organic-inorganic perovskite,stability: None None (None)
Highly efficient and stable inverted perovskite solar cells with two-dimensional ZnSe deposited using a thermal evaporator for electron collection,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,C60,123591,,,,,,18.38,,,,Hybrid organic-inorganic perovskite,stability: None None (None)
Indolocarbazole-core linked triphenylamine as an interfacial passivation layer for perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4,4'-(5,11-dioctyl-5,11-dihydroindolo[3,2-b]carbazole-6,12-diyl)bis(N,N-bis(4-methoxyphenyl)aniline) (TM5)",,,small organic molecule with hole transport properties,"dioctyl; indolo[3,2-b]carbazole; N,N-bis(4-methoxyphenyl)aniline; methoxy; phenyl; aniline",interfacial layer between the perovskite and hole transport layer (HTL),between the perovskite and hole transport layer (HTL),20.18,,,,perovskite,PCE decrease: 5 % (after 1056 h aging at a relative humidity of 30-40%); PCE decrease: 3 % (after 1056 h aging at a relative humidity of 30-40%); PCE decline (control): 43 % (after 1056 h aging at a relative humidity of 30-40%)
Indolocarbazole-core linked triphenylamine as an interfacial passivation layer for perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4,4'-(5,11-dioctyl-5,11-dihydroindolo[3,2-b]carbazole-6,12-diyl)bis(N,N-bis(4-(methylthio)phenyl)aniline) (TM6)",,,small organic molecule with hole transport properties,"dioctyl; indolo[3,2-b]carbazole; N,N-bis(4-(methylthio)phenyl)aniline; methylthio; phenyl; aniline",interfacial layer between the perovskite and hole transport layer (HTL),between the perovskite and hole transport layer (HTL),20.18,,,,perovskite,PCE decrease: 5 % (after 1056 h aging at a relative humidity of 30-40%); PCE decrease: 3 % (after 1056 h aging at a relative humidity of 30-40%); PCE decline (control): 43 % (after 1056 h aging at a relative humidity of 30-40%)
Innovating carbon-based perovskite solar cells: the role of a CN-anchoring self-assembled molecular layer in efficiency and stability,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,hole transporting materials,,20.37,,,,p-i-n perovskite solar cells (PSCs),PCE retention: 97.5 % (after 600 hours at 80 degrees C under ambient conditions); operational stability: None None (one-year); visual stability: None None (over one year)
Interface modification and crystallization control of efficient and stable perovskite solar cells using dicyandiamide,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,dicyandiamide (DCD),,,a small molecule,-NH2; -CN,interfacial modification layer,buried interface in n-i-p solar cells,24.5,,,,,PCE retention: 93.2 % (720 hours of storage at controlled humidity (RH = 30-40%))
Interface regulation via bidentate π-chelators for high-performance perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,7-azaindole,9222,,,two active sites; bidentate chelation,acting as an intermediate layer at the perovskite/HTL,interface between the perovskite and the hole transport layer (HTL),24.63,,,,,stability: None None (encapsulated devices)
Interface regulation via bidentate π-chelators for high-performance perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,,,24.63,,,,,stability: None None (encapsulated devices)
Introducing pyridyl into electron transport materials plays a key role in improving electron mobility and interface properties for inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,o-PDTP,,,electron transfer materials (ETMs),pyridyl,ETM,between the perovskite film and electrode materials,,,,,MAPbI(3),
Introducing pyridyl into electron transport materials plays a key role in improving electron mobility and interface properties for inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,m-PDTP,,,electron transfer materials (ETMs),pyridyl,ETM,between the perovskite film and electrode materials,,,,,MAPbI(3),
Introducing pyridyl into electron transport materials plays a key role in improving electron mobility and interface properties for inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,p-PDTP,,,electron transfer materials (ETMs),pyridyl,ETM,between the perovskite film and electrode materials,,,,,MAPbI(3),
Introducing pyridyl into electron transport materials plays a key role in improving electron mobility and interface properties for inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"10,14-bis(5-(2-ethylhexyl)thiophen-2-yl)-dipyrido-[3,2-a:2 ',3 '-c][1,2,5]-thiadiazolo-[3,4-i]-phenazine (TDTP)",,,electron transfer materials (ETMs),5-(2-ethylhexyl)thiophen-2-yl; dipyrido,ETM,between the perovskite film and electrode materials,,,,,MAPbI(3),
Ladder-like conjugated polymers used as hole-transporting materials for high-efficiency perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-MeOTAD,16161850,,traditional HTM,,reference/traditional HTM,,18.3,,,,perovskites solar cells,long-term ambient stability: None None (None)
Management of an intermediate phase via a multifunctional dietary supplement for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,glucosamine hydrochloride (GluACl),,,multifunctional dietary supplement,,form a new intermediate phase to modulate the crystal growth,incorporated into the perovskite precursors,24,1.2,,,perovskite films,environmental stability: None None (None)
Management of an intermediate phase via a multifunctional dietary supplement for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,(GluA)(PbI3)center dot 3DMSO,,,single-crystal structure,,used in combination with Density Functional Theory (DFT) calculations to explain the growth mechanism,,24,1.2,,,perovskite films,environmental stability: None None (None)
Molecular engineering with CuanCl for effective optimization of a defective interface for wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"CuanCl (carbamoyl-guanidine amidino urea salt, hydrochloride salt)",,,salt,carbonyl; imine cations (NH+-),optimize the WBG perovskite/HTL interface; bifunctional chemical passivation on surface defects; provides supplementary electronic states at the valence band maximum,perovskite/HTL interface; surface-bound on the perovskite,19.36,1.27,,77.28,wide-bandgap (WBG) perovskite,efficiency retention: 84 % (after 1000 hours in air with a humidity of 40%)
Molecular locking of defects via H-bonding/coordination dual-interaction enables efficient perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,4-methylsulfonylbenzoic acid (4-MeSBA),,,multifunctional additive,two oxygen-bearing functional groups,reduces defects through a molecular locking mechanism,grain boundaries of the perovskite,26.35,,,,,retained efficiency: 92 % (after 1200 hours of maximum power point tracking in air)
"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,SP-Naph,,,organic hole-transporting material (HTM),dimethoxyphenylnaphthylamine subunits,HTM,,21.95,,,,planar n-i-p PSC,operational stability: None None (continuous 1 sun illumination); thermal stability: None None (65 degrees C)
"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,SP-SMe,,,organic hole-transporting material (HTM),methoxy groups (-OMe); methylsulfanyl groups (-SMe); diphenylamine units,dopant-free HTM,perovskite surface,21.95,,,,planar n-i-p PSC,operational stability: None None (continuous 1 sun illumination); thermal stability: None None (65 degrees C)
"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,doped spiro-OMeTAD,,HTM,,21.95,,,,planar n-i-p PSC,operational stability: None None (continuous 1 sun illumination); thermal stability: None None (65 degrees C)
"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"spiro[fluorene-9,9-xanthene] (SFX) central core",,,SFX central core,,central core,,21.95,,,,planar n-i-p PSC,operational stability: None None (continuous 1 sun illumination); thermal stability: None None (65 degrees C)
Molecule-bridged electron-selective contact for high-efficiency halide-based perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,malic acid (H2Mi),525,,bidirectional cross-linking agent,,construct a molecular bridging layer to improve the electron extraction of SnO2 and the growth of perovskite crystals,buried interface,24.34,,,,n-i-p type,"PCE retention after ambient storage: None % (placed in ambient air for 1080 h, unencapsulated target device); PCE retention after MPP tracking under continuous illumination: 80 % (after 400 h of maximum power point (MPP) tracking test under continuous illumination (100 mW cm-2), unencapsulated target device)"
Multifunctional 1-naphthoic acid additive enhancing ultraviolet stability of perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,1-naphthoic acid (1-NA),6847,,small and multifunctional additive,,to mitigate UV-induced degradation in PSCs,perovskite lattice,25.36,,,,,PCE retention: 84 % (240 hours under intense UV light (50 mW cm-2)); PCE retention: 83 % (1000 hours of continuous AM1.5G illumination)
Multifunctional molecule interface modification for high-performance inverted wide-bandgap perovskite cells and modules,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,pyridinyl-benzimidazolium chloride,,,multifunctional molecule,pyridine; benzimidazole,stabilize the perovskite surface; defect passivation,perovskite surface,21.82,1.24,,,Wide-band gap (≥1.66 eV) inverted perovskite,light stability: None None (unsealed PSCs); storage stability: over 2000 h (unsealed PSCs)
Nano-graphdiyne derivative and natural amino acid molecule as bilateral charge transport layer dopants for efficient perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,o-TB-GDY,,,wheel-like nano-graphdiyne derivative,highly pi-conjugated,doped into the Spiro-OMeTAD hole transport layer (HTL); formed strong coordination bonds with uncoordinated Pb2+ ions,top surface of the perovskite film (perovskite/spiro-OMeTAD interface),24.46,,,,n-i-p structured perovskite solar cells (PSCs),long-term operational stability: None None (unencapsulated devices); thermal stability: None None (unencapsulated devices)
Nano-graphdiyne derivative and natural amino acid molecule as bilateral charge transport layer dopants for efficient perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,serine,5951,,natural amino acid molecule,amino acid,doped into the SnO2 electron transport layer (ETL); passivated uncoordinated Sn and O vacancy defects of the SnO2 film; chelated with uncoordinated Pb2+ ions,SnO2 film and buried surface of the perovskite film (SnO2/perovskite interface),24.46,,,,n-i-p structured perovskite solar cells (PSCs),long-term operational stability: None None (unencapsulated devices); thermal stability: None None (unencapsulated devices)
Nano-graphdiyne derivative and natural amino acid molecule as bilateral charge transport layer dopants for efficient perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,Spiro-OMeTAD,16161850,,hole transport layer (HTL),,hole transport layer that was doped with o-TB-GDY,perovskite/spiro-OMeTAD (top) interface,24.46,,,,n-i-p structured perovskite solar cells (PSCs),long-term operational stability: None None (unencapsulated devices); thermal stability: None None (unencapsulated devices)
